Date	Hour	Power
01-01-2016	00:00:00	12.029
01-01-2016	01:00:00	11.614
01-01-2016	02:00:00	11.117
01-01-2016	03:00:00	10.712
01-01-2016	04:00:00	10.364
01-01-2016	05:00:00	10.3
01-01-2016	06:00:00	10.472
01-01-2016	07:00:00	10.708
01-01-2016	08:00:00	10.773
01-01-2016	09:00:00	11.112
01-01-2016	10:00:00	11.672
01-01-2016	11:00:00	12.33
01-01-2016	12:00:00	12.474
01-01-2016	13:00:00	12.383
01-01-2016	14:00:00	12.504
01-01-2016	15:00:00	12.984
01-01-2016	16:00:00	14.139
01-01-2016	17:00:00	14.68
01-01-2016	18:00:00	14.415
01-01-2016	19:00:00	14.034
01-01-2016	20:00:00	13.672
01-01-2016	21:00:00	13.256
01-01-2016	22:00:00	12.871
01-01-2016	23:00:00	12.263
02-01-2016	00:00:00	11.605
02-01-2016	01:00:00	11.454
02-01-2016	02:00:00	11.481
02-01-2016	03:00:00	11.874
02-01-2016	04:00:00	12.101
02-01-2016	05:00:00	12.681
02-01-2016	06:00:00	13.063
02-01-2016	07:00:00	13.795
02-01-2016	08:00:00	14.681
02-01-2016	09:00:00	15.599
02-01-2016	10:00:00	16.769
02-01-2016	11:00:00	17.228
02-01-2016	12:00:00	17.386
02-01-2016	13:00:00	17.455
02-01-2016	14:00:00	17.6
02-01-2016	15:00:00	18.002
02-01-2016	16:00:00	19.21
02-01-2016	17:00:00	19.798
02-01-2016	18:00:00	19.663
02-01-2016	19:00:00	18.714
02-01-2016	20:00:00	18.014
02-01-2016	21:00:00	17.401
02-01-2016	22:00:00	16.812
02-01-2016	23:00:00	16.06
03-01-2016	00:00:00	15.346
03-01-2016	01:00:00	14.971
03-01-2016	02:00:00	14.581
03-01-2016	03:00:00	14.649
03-01-2016	04:00:00	14.477
03-01-2016	05:00:00	14.76
03-01-2016	06:00:00	14.838
03-01-2016	07:00:00	15.289
03-01-2016	08:00:00	16.063
03-01-2016	09:00:00	16.88
03-01-2016	10:00:00	17.491
03-01-2016	11:00:00	17.324
03-01-2016	12:00:00	17.265
03-01-2016	13:00:00	16.828
03-01-2016	14:00:00	16.913
03-01-2016	15:00:00	17.566
03-01-2016	16:00:00	18.978
03-01-2016	17:00:00	19.814
03-01-2016	18:00:00	19.888
03-01-2016	19:00:00	19.357
03-01-2016	20:00:00	18.522
03-01-2016	21:00:00	18.073
03-01-2016	22:00:00	17.094
03-01-2016	23:00:00	16.224
04-01-2016	00:00:00	15.338
04-01-2016	01:00:00	15.002
04-01-2016	02:00:00	14.895
04-01-2016	03:00:00	14.842
04-01-2016	04:00:00	14.857
04-01-2016	05:00:00	15.296
04-01-2016	06:00:00	16.644
04-01-2016	07:00:00	17.728
04-01-2016	08:00:00	17.797
04-01-2016	09:00:00	17.783
04-01-2016	10:00:00	17.253
04-01-2016	11:00:00	16.443
04-01-2016	12:00:00	15.955
