Date	Hour	Power
06-08-2017	08:00:00	4.484
06-08-2017	09:00:00	5.178
06-08-2017	10:00:00	5.549
06-08-2017	11:00:00	5.613
06-08-2017	12:00:00	5.568
06-08-2017	13:00:00	5.431
06-08-2017	14:00:00	5.169
06-08-2017	15:00:00	5.18
06-08-2017	16:00:00	5.438
06-08-2017	17:00:00	5.933
06-08-2017	18:00:00	6.176
06-08-2017	19:00:00	6.068
06-08-2017	20:00:00	6.07
06-08-2017	21:00:00	6.192
06-08-2017	22:00:00	5.837
06-08-2017	23:00:00	5.079
07-08-2017	00:00:00	4.529
07-08-2017	01:00:00	4.196
07-08-2017	02:00:00	4.149
07-08-2017	03:00:00	4.106
07-08-2017	04:00:00	4.121
07-08-2017	05:00:00	3.892
07-08-2017	06:00:00	4.352
07-08-2017	07:00:00	4.818
07-08-2017	08:00:00	5.127
07-08-2017	09:00:00	5.351
07-08-2017	10:00:00	5.433
07-08-2017	11:00:00	5.417
07-08-2017	12:00:00	5.298
07-08-2017	13:00:00	5.17
07-08-2017	14:00:00	5.055
07-08-2017	15:00:00	5.016
07-08-2017	16:00:00	5.321
07-08-2017	17:00:00	5.977
07-08-2017	18:00:00	6.007
07-08-2017	19:00:00	5.954
07-08-2017	20:00:00	5.798
07-08-2017	21:00:00	6.092
07-08-2017	22:00:00	5.766
07-08-2017	23:00:00	5.067
08-08-2017	00:00:00	4.461
08-08-2017	01:00:00	4.17
08-08-2017	02:00:00	4.09
08-08-2017	03:00:00	3.956
08-08-2017	04:00:00	3.963
08-08-2017	05:00:00	3.704
08-08-2017	06:00:00	4.236
08-08-2017	07:00:00	4.81
08-08-2017	08:00:00	5.054
08-08-2017	09:00:00	5.251
08-08-2017	10:00:00	5.259
08-08-2017	11:00:00	5.224
08-08-2017	12:00:00	5.26
08-08-2017	13:00:00	5.011
08-08-2017	14:00:00	5.017
08-08-2017	15:00:00	5.065
08-08-2017	16:00:00	5.394
08-08-2017	17:00:00	5.971
08-08-2017	18:00:00	6.055
08-08-2017	19:00:00	6.035
08-08-2017	20:00:00	5.996
08-08-2017	21:00:00	6.148
08-08-2017	22:00:00	5.655
08-08-2017	23:00:00	4.916
09-08-2017	00:00:00	4.362
09-08-2017	01:00:00	4.008
09-08-2017	02:00:00	3.779
09-08-2017	03:00:00	3.698
09-08-2017	04:00:00	3.698
09-08-2017	05:00:00	3.665
09-08-2017	06:00:00	4.135
09-08-2017	07:00:00	4.796
09-08-2017	08:00:00	5.013
09-08-2017	09:00:00	5.361
09-08-2017	10:00:00	5.414
09-08-2017	11:00:00	5.439
09-08-2017	12:00:00	5.343
09-08-2017	13:00:00	5.098
09-08-2017	14:00:00	4.935
09-08-2017	15:00:00	4.97
09-08-2017	16:00:00	5.119
09-08-2017	17:00:00	5.592
09-08-2017	18:00:00	5.707
09-08-2017	19:00:00	5.833
09-08-2017	20:00:00	5.782
09-08-2017	21:00:00	6.021
09-08-2017	22:00:00	5.701
09-08-2017	23:00:00	4.832
10-08-2017	00:00:00	4.339
10-08-2017	01:00:00	4.007
10-08-2017	02:00:00	3.775
10-08-2017	03:00:00	3.698
10-08-2017	04:00:00	3.701
10-08-2017	05:00:00	3.59
10-08-2017	06:00:00	4.165
10-08-2017	07:00:00	4.856
10-08-2017	08:00:00	5.114
10-08-2017	09:00:00	5.266
10-08-2017	10:00:00	5.28
10-08-2017	11:00:00	5.313
10-08-2017	12:00:00	5.195
10-08-2017	13:00:00	5.021
10-08-2017	14:00:00	4.837
10-08-2017	15:00:00	4.855
10-08-2017	16:00:00	5.186
10-08-2017	17:00:00	5.802
10-08-2017	18:00:00	5.851
10-08-2017	19:00:00	5.762
10-08-2017	20:00:00	5.728
10-08-2017	21:00:00	6.01
10-08-2017	22:00:00	5.712
10-08-2017	23:00:00	4.848
11-08-2017	00:00:00	4.376
11-08-2017	01:00:00	4.065
11-08-2017	02:00:00	3.982
11-08-2017	03:00:00	3.975
11-08-2017	04:00:00	3.98
11-08-2017	05:00:00	3.782
11-08-2017	06:00:00	4.235
11-08-2017	07:00:00	4.865
11-08-2017	08:00:00	5.115
11-08-2017	09:00:00	5.296
11-08-2017	10:00:00	5.423
11-08-2017	11:00:00	5.525
11-08-2017	12:00:00	5.556
11-08-2017	13:00:00	5.477
11-08-2017	14:00:00	5.403
11-08-2017	15:00:00	5.473
11-08-2017	16:00:00	5.859
11-08-2017	17:00:00	6.196
11-08-2017	18:00:00	6.124
11-08-2017	19:00:00	5.865
11-08-2017	20:00:00	6.079
11-08-2017	21:00:00	6.103
11-08-2017	22:00:00	5.724
11-08-2017	23:00:00	5.142
12-08-2017	00:00:00	4.552
12-08-2017	01:00:00	4.142
12-08-2017	02:00:00	3.96
12-08-2017	03:00:00	3.85
12-08-2017	04:00:00	3.805
12-08-2017	05:00:00	3.704
12-08-2017	06:00:00	3.55
12-08-2017	07:00:00	3.949
12-08-2017	08:00:00	4.834
12-08-2017	09:00:00	5.527
12-08-2017	10:00:00	5.878
12-08-2017	11:00:00	6.283
12-08-2017	12:00:00	6.323
12-08-2017	13:00:00	6.157
12-08-2017	14:00:00	6.049
12-08-2017	15:00:00	5.883
12-08-2017	16:00:00	5.974
12-08-2017	17:00:00	6.198
12-08-2017	18:00:00	6.528
12-08-2017	19:00:00	6.395
12-08-2017	20:00:00	6.303
12-08-2017	21:00:00	6.343
12-08-2017	22:00:00	5.89
12-08-2017	23:00:00	5.31
13-08-2017	00:00:00	4.836
13-08-2017	01:00:00	4.572
13-08-2017	02:00:00	4.314
13-08-2017	03:00:00	4.192
13-08-2017	04:00:00	4.148
13-08-2017	05:00:00	3.927
13-08-2017	06:00:00	3.852
13-08-2017	07:00:00	4.133
13-08-2017	08:00:00	4.789
13-08-2017	09:00:00	5.562
13-08-2017	10:00:00	5.98
13-08-2017	11:00:00	6.027
13-08-2017	12:00:00	5.984
13-08-2017	13:00:00	5.781
13-08-2017	14:00:00	5.515
13-08-2017	15:00:00	5.442
13-08-2017	16:00:00	5.667
13-08-2017	17:00:00	6.165
13-08-2017	18:00:00	6.376
13-08-2017	19:00:00	6.273
13-08-2017	20:00:00	6.175
13-08-2017	21:00:00	6.544
13-08-2017	22:00:00	5.998
13-08-2017	23:00:00	5.176
14-08-2017	00:00:00	4.652
14-08-2017	01:00:00	4.458
14-08-2017	02:00:00	4.383
14-08-2017	03:00:00	4.351
14-08-2017	04:00:00	4.324
14-08-2017	05:00:00	4.269
14-08-2017	06:00:00	4.827
14-08-2017	07:00:00	5.451
14-08-2017	08:00:00	5.586
14-08-2017	09:00:00	5.595
14-08-2017	10:00:00	5.567
14-08-2017	11:00:00	5.493
14-08-2017	12:00:00	5.486
14-08-2017	13:00:00	5.24
14-08-2017	14:00:00	5.132
14-08-2017	15:00:00	5.052
14-08-2017	16:00:00	5.349
14-08-2017	17:00:00	5.946
14-08-2017	18:00:00	6.179
14-08-2017	19:00:00	6.09
14-08-2017	20:00:00	6.283
14-08-2017	21:00:00	6.757
14-08-2017	22:00:00	6.065
14-08-2017	23:00:00	5.291
15-08-2017	00:00:00	4.714
15-08-2017	01:00:00	4.438
15-08-2017	02:00:00	4.409
15-08-2017	03:00:00	4.321
15-08-2017	04:00:00	4.13
15-08-2017	05:00:00	4.11
15-08-2017	06:00:00	4.669
15-08-2017	07:00:00	5.335
15-08-2017	08:00:00	5.319
15-08-2017	09:00:00	5.368
15-08-2017	10:00:00	5.451
15-08-2017	11:00:00	5.349
15-08-2017	12:00:00	5.42
15-08-2017	13:00:00	5.13
15-08-2017	14:00:00	5.059
15-08-2017	15:00:00	4.977
15-08-2017	16:00:00	5.348
15-08-2017	17:00:00	6.119
15-08-2017	18:00:00	6.255
15-08-2017	19:00:00	6.34
15-08-2017	20:00:00	6.486
15-08-2017	21:00:00	6.647
15-08-2017	22:00:00	5.761
15-08-2017	23:00:00	4.879
16-08-2017	00:00:00	4.357
16-08-2017	01:00:00	3.965
16-08-2017	02:00:00	3.841
16-08-2017	03:00:00	3.816
16-08-2017	04:00:00	3.799
16-08-2017	05:00:00	3.857
16-08-2017	06:00:00	4.41
16-08-2017	07:00:00	5.421
16-08-2017	08:00:00	5.547
16-08-2017	09:00:00	5.334
16-08-2017	10:00:00	5.333
16-08-2017	11:00:00	5.337
16-08-2017	12:00:00	5.214
16-08-2017	13:00:00	5.047
16-08-2017	14:00:00	5.023
16-08-2017	15:00:00	4.989
16-08-2017	16:00:00	5.404
16-08-2017	17:00:00	5.954
16-08-2017	18:00:00	6.007
16-08-2017	19:00:00	6.075
16-08-2017	20:00:00	6.221
16-08-2017	21:00:00	6.493
16-08-2017	22:00:00	5.764
16-08-2017	23:00:00	5.003
17-08-2017	00:00:00	4.402
17-08-2017	01:00:00	4.176
17-08-2017	02:00:00	4.111
17-08-2017	03:00:00	4.069
17-08-2017	04:00:00	4.128
17-08-2017	05:00:00	4.124
17-08-2017	06:00:00	4.831
17-08-2017	07:00:00	5.562
17-08-2017	08:00:00	5.534
17-08-2017	09:00:00	5.395
17-08-2017	10:00:00	5.347
17-08-2017	11:00:00	5.291
17-08-2017	12:00:00	5.167
17-08-2017	13:00:00	5.074
17-08-2017	14:00:00	5.032
17-08-2017	15:00:00	5.06
17-08-2017	16:00:00	5.504
17-08-2017	17:00:00	6.292
17-08-2017	18:00:00	6.441
17-08-2017	19:00:00	6.671
17-08-2017	20:00:00	6.63
17-08-2017	21:00:00	6.618
17-08-2017	22:00:00	5.769
17-08-2017	23:00:00	4.99
18-08-2017	00:00:00	4.451
18-08-2017	01:00:00	4.155
18-08-2017	02:00:00	4.047
18-08-2017	03:00:00	3.938
18-08-2017	04:00:00	3.96
18-08-2017	05:00:00	4.049
18-08-2017	06:00:00	4.755
18-08-2017	07:00:00	5.61
18-08-2017	08:00:00	5.445
18-08-2017	09:00:00	5.477
18-08-2017	10:00:00	5.432
18-08-2017	11:00:00	5.491
18-08-2017	12:00:00	5.412
18-08-2017	13:00:00	5.343
18-08-2017	14:00:00	5.211
18-08-2017	15:00:00	5.221
18-08-2017	16:00:00	5.59
18-08-2017	17:00:00	6.286
18-08-2017	18:00:00	6.492
18-08-2017	19:00:00	6.331
18-08-2017	20:00:00	6.266
18-08-2017	21:00:00	6.242
18-08-2017	22:00:00	5.656
18-08-2017	23:00:00	4.998
19-08-2017	00:00:00	4.472
19-08-2017	01:00:00	4.159
19-08-2017	02:00:00	3.984
19-08-2017	03:00:00	3.956
19-08-2017	04:00:00	3.966
19-08-2017	05:00:00	3.853
19-08-2017	06:00:00	3.741
19-08-2017	07:00:00	4.219
19-08-2017	08:00:00	4.984
19-08-2017	09:00:00	5.619
19-08-2017	10:00:00	5.898
19-08-2017	11:00:00	6.165
19-08-2017	12:00:00	5.918
19-08-2017	13:00:00	5.679
19-08-2017	14:00:00	5.572
19-08-2017	15:00:00	5.548
19-08-2017	16:00:00	5.96
19-08-2017	17:00:00	6.448
19-08-2017	18:00:00	6.339
19-08-2017	19:00:00	6.093
19-08-2017	20:00:00	5.941
19-08-2017	21:00:00	6.219
19-08-2017	22:00:00	5.851
19-08-2017	23:00:00	5.317
20-08-2017	00:00:00	4.804
20-08-2017	01:00:00	4.468
20-08-2017	02:00:00	4.309
20-08-2017	03:00:00	4.135
20-08-2017	04:00:00	4.129
20-08-2017	05:00:00	4.043
20-08-2017	06:00:00	3.857
20-08-2017	07:00:00	4.225
20-08-2017	08:00:00	4.891
20-08-2017	09:00:00	5.566
20-08-2017	10:00:00	5.876
20-08-2017	11:00:00	6.006
20-08-2017	12:00:00	5.966
20-08-2017	13:00:00	5.903
20-08-2017	14:00:00	5.644
20-08-2017	15:00:00	5.64
20-08-2017	16:00:00	6.216
20-08-2017	17:00:00	6.815
20-08-2017	18:00:00	7.05
20-08-2017	19:00:00	7.049
20-08-2017	20:00:00	7.044
20-08-2017	21:00:00	6.866
20-08-2017	22:00:00	6.046
20-08-2017	23:00:00	5.144
21-08-2017	00:00:00	4.574
21-08-2017	01:00:00	4.305
21-08-2017	02:00:00	4.227
21-08-2017	03:00:00	4.137
21-08-2017	04:00:00	4.275
21-08-2017	05:00:00	4.365
21-08-2017	06:00:00	5.17
21-08-2017	07:00:00	6.039
21-08-2017	08:00:00	5.782
21-08-2017	09:00:00	5.736
21-08-2017	10:00:00	5.574
21-08-2017	11:00:00	5.45
21-08-2017	12:00:00	5.407
21-08-2017	13:00:00	5.278
21-08-2017	14:00:00	5.138
21-08-2017	15:00:00	5.163
21-08-2017	16:00:00	5.53
21-08-2017	17:00:00	6.304
21-08-2017	18:00:00	6.452
21-08-2017	19:00:00	6.721
21-08-2017	20:00:00	6.834
21-08-2017	21:00:00	6.731
21-08-2017	22:00:00	5.803
21-08-2017	23:00:00	4.926
22-08-2017	00:00:00	4.534
